区分,都道府県,24年件数,23年件数,増減率
放火,新潟県,9,14,-5
放火,山梨県,3,11,-8
放火,長野県,6,7,-1
放火,静岡県,15,32,-17
放火,富山県,4,5,-1
放火,石川県,9,3,6
放火,福井県,3,3,0
放火,岐阜県,14,8,6
放火,愛知県,40,49,-9
放火,三重県,2,9,-7
放火,滋賀県,7,10,-3
放火,京都府,17,22,-5
放火,大阪府,135,106,29
放火,兵庫県,38,47,-9
放火,奈良県,4,5,-1
放火,和歌山県,2,2,0
放火,鳥取県,3,1,2
放火,島根県,2,5,-3
放火,岡山県,6,15,-9
放火,広島県,19,15,4
放火,山口県,8,5,3
放火,徳島県,5,2,3
放火,香川県,9,6,3
放火,愛媛県,8,6,2
放火,高知県,5,11,-6
放火,福岡県,24,26,-2
放火,佐賀県,3,4,-1
放火,長崎県,3,2,1
放火,熊本県,4,11,-7
放火,大分県,6,5,1
放火,宮崎県,5,7,-2
放火,鹿児島県,14,14,0
放火,沖縄県,9,11,-2
ひったくり,札幌方面,4,8,-4
ひったくり,函館方面,1,1,0
ひったくり,旭川方面,1,0,1
ひったくり,釧路方面,1,0,1
ひったくり,北見方面,0,0,0
ひったくり,青森県,1,0,1
ひったくり,岩手県,0,0,0
ひったくり,宮城県,5,4,1
ひったくり,秋田県,1,0,1
ひったくり,山形県,0,0,0
ひったくり,福島県,2,1,1
ひったくり,東京都,106,87,19
ひったくり,茨城県,6,4,2
ひったくり,栃木県,2,6,-4
ひったくり,群馬県,4,2,2
ひったくり,埼玉県,50,61,-11
ひったくり,千葉県,51,30,21
ひったくり,神奈川県,30,66,-36
ひったくり,新潟県,3,1,2
ひったくり,山梨県,0,2,-2
ひったくり,長野県,1,4,-3
ひったくり,静岡県,7,3,4
ひったくり,富山県,0,0,0
ひったくり,石川県,1,5,-4
ひったくり,福井県,1,0,1
ひったくり,岐阜県,6,2,4
ひったくり,愛知県,38,21,17
ひったくり,三重県,1,5,-4
ひったくり,滋賀県,4,4,0
ひったくり,京都府,10,17,-7
ひったくり,大阪府,145,114,31
ひったくり,兵庫県,23,25,-2
ひったくり,奈良県,4,4,0
ひったくり,和歌山県,5,3,2
ひったくり,鳥取県,0,1,-1
ひったくり,島根県,0,1,-1
ひったくり,岡山県,2,12,-10
ひったくり,広島県,6,2,4
ひったくり,山口県,2,2,0
ひったくり,徳島県,0,2,-2
ひったくり,香川県,3,2,1
ひったくり,愛媛県,1,4,-3
ひったくり,高知県,0,2,-2
ひったくり,福岡県,23,24,-1
ひったくり,佐賀県,2,1,1
ひったくり,長崎県,0,1,-1
ひったくり,熊本県,3,3,0
ひったくり,大分県,2,4,-2
ひったくり,宮崎県,0,1,-1
ひったくり,鹿児島県,2,1,1
ひったくり,沖縄県,7,8,-1
すり,札幌方面,15,12,3
すり,函館方面,0,1,-1
すり,旭川方面,0,0,0
すり,釧路方面,0,1,-1
すり,北見方面,0,0,0
すり,青森県,1,0,1
すり,岩手県,0,2,-2
すり,宮城県,5,3,2
すり,秋田県,1,1,0
すり,山形県,2,0,2
すり,福島県,7,4,3
すり,東京都,589,510,79
すり,茨城県,11,7,4
すり,栃木県,0,1,-1
